Modèle,Variance cible,Dim originale,Dim ACP,Compression (%),Taille orig (MB),Taille ACP (MB),Économie (MB),Baseline R@1,ACP R@1,Baseline mAP,ACP mAP,ΔmAP
ResNet_ZeroShot,90%,2048,256,88%,39.2,4.9,34.3,35.2%,34.2%,1.4%,1.3%,-0.2%
ResNet_ZeroShot,95%,2048,475,77%,39.2,9.1,30.1,35.2%,34.4%,1.4%,1.2%,-0.2%
ResNet_ZeroShot,99%,2048,1024,50%,39.2,19.6,19.6,35.2%,32.2%,1.4%,1.1%,-0.3%
ViTBase_ZeroShot,90%,768,230,70%,14.7,4.4,10.3,41.8%,49.1%,1.8%,2.1%,+0.3%
ViTBase_ZeroShot,95%,768,373,51%,14.7,7.1,7.6,41.8%,49.0%,1.8%,2.1%,+0.3%
ViTBase_ZeroShot,99%,768,603,21%,14.7,11.5,3.2,41.8%,49.4%,1.8%,2.0%,+0.2%
DinoV2_ZeroShot,90%,256,9,96%,4.9,0.2,4.7,76.7%,74.8%,7.7%,7.3%,-0.4%
DinoV2_ZeroShot,95%,256,13,95%,4.9,0.2,4.6,76.7%,75.4%,7.7%,7.4%,-0.2%
DinoV2_ZeroShot,99%,256,34,87%,4.9,0.7,4.2,76.7%,76.6%,7.7%,7.2%,-0.5%
DinoV2_SuperCon,90%,256,9,96%,4.9,0.2,4.7,91.9%,90.1%,9.9%,9.8%,-0.1%
DinoV2_SuperCon,95%,256,13,95%,4.9,0.2,4.6,91.9%,90.6%,9.9%,9.9%,-0.0%
DinoV2_SuperCon,99%,256,28,89%,4.9,0.5,4.4,91.9%,90.5%,9.9%,9.5%,-0.4%
MobileNetV2_ZeroShot,90%,1280,257,80%,24.5,4.9,19.6,29.3%,32.6%,1.0%,1.2%,+0.2%
MobileNetV2_ZeroShot,95%,1280,439,66%,24.5,8.4,16.1,29.3%,32.6%,1.0%,1.1%,+0.1%
MobileNetV2_ZeroShot,99%,1280,768,40%,24.5,14.7,9.8,29.3%,29.6%,1.0%,0.9%,-0.1%
MobileNetV2_ArcFace,90%,256,41,84%,4.9,0.8,4.1,50.7%,52.5%,4.1%,4.3%,+0.2%
MobileNetV2_ArcFace,95%,256,49,81%,4.9,0.9,4.0,50.7%,53.0%,4.1%,4.4%,+0.2%
MobileNetV2_ArcFace,99%,256,177,31%,4.9,3.4,1.5,50.7%,47.6%,4.1%,3.2%,-0.9%
